weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
8,0.78,0.04,0.09,0.3,0.78,0.49300000000000005
8,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
8,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
8,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
8,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
8,0.72,0.03,0.09,0.3,0.84,0.47400000000000003
8,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
8,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
8,0.75,0.06,0.09,0.3,0.82,0.48700000000000004
8,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
9,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
9,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
9,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
9,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
9,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
9,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
9,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
9,0.72,0.03,0.09,0.3,0.83,0.47300000000000003
9,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
9,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
10,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
10,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
10,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
10,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
10,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
10,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
10,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
10,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
10,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
10,0.75,0.03,0.09,0.3,0.84,0.48600000000000004
11,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
11,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
11,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
11,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
11,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
11,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
11,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
11,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
11,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
11,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
12,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
12,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
12,0.75,0.09,0.09,0.3,0.83,0.49100000000000005
12,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
12,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
12,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
12,0.75,0.03,0.09,0.3,0.84,0.48600000000000004
12,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
12,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
12,0.78,0.02,0.09,0.31,0.82,0.49800000000000005
13,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
13,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
13,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
13,0.75,0.05,0.09,0.3,0.78,0.48200000000000004
13,0.72,0.06,0.1,0.3,0.81,0.47500000000000003
13,0.75,0.04,0.09,0.3,0.84,0.48700000000000004
13,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
13,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
13,0.72,0.04,0.09,0.3,0.82,0.47300000000000003
13,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
14,0.75,0.02,0.09,0.31,0.83,0.48700000000000004
14,0.75,0.05,0.09,0.3,0.82,0.48600000000000004
14,0.72,0.06,0.09,0.3,0.78,0.47100000000000003
14,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
14,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
14,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
14,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
14,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
14,0.78,0.03,0.08,0.31,0.82,0.49800000000000005
14,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
15,0.75,0.04,0.09,0.3,0.83,0.48600000000000004
15,0.78,0.03,0.09,0.31,0.82,0.49900000000000005
15,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
15,0.72,0.05,0.09,0.3,0.83,0.47500000000000003
15,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
